"","date","time_sampled_est","DIC_umolL","DOC_umolL","TA_umolL"
"1","7/15/2024","10:00",1694.28024311048,582.632586795438,1815.6
"2","7/15/2024","11:00",1760.88585463325,726.91699275664,1811.5
"3","7/15/2024","12:00",1815.83548413954,NA,1780.9
"4","7/15/2024","13:00",1854.96628090917,NA,1824.8
"5","7/15/2024","14:00",1900.75763883107,NA,1818.8
"6","7/15/2024","15:00",1999.00091582716,NA,1888.9
"7","7/15/2024","16:00",2056.44825576555,789.026725501624,1949.9
"8","7/15/2024","17:00",2188.82690866706,860.044958787778,2005.3
"9","7/15/2024","18:00",2409.45799683623,894.180334693198,2130.4
"10","7/15/2024","19:00",2345.35009574557,912.49687786196,2237.1
"11","7/15/2024","20:00",1972.35867121805,763.633336108567,1926
"12","7/15/2024","21:00",1918.2416118558,707.434851386229,1894
"13","7/15/2024","22:00",1696.77795354259,542.918990924985,1799.6
"14","7/15/2024","23:00",1679.29398051786,511.614353509283,1814.3
"15","7/15/2024","0:00",1651.81916576472,495.462492715011,1782.9
"16","7/16/2024","1:00",1631.83748230788,503.621680126551,1824.7
"17","7/16/2024","2:00",1687.61968195821,518.524685704771,1785.8
"18","7/16/2024","3:00",1758.38814420115,541.58687869453,1769.8
"19","7/16/2024","4:00",1771.7092665057,592.78994255266,1763.5
"20","7/16/2024","5:00",1801.68179169095,630.921655149446,1796.1
"21","7/16/2024","6:00",1772.54183664974,627.924402630922,1786.4
"22","7/16/2024","7:00",1852.46857047706,672.300391307968,1777.4
"23","7/16/2024","8:00",1724.25276829573,637.582216301724,1779.6
"24","7/16/2024","9:00",1705.10365498293,553.159603696611,1788.3
"25","7/16/2024","10:00",1700.94080426276,554.658229955874,1785.7
"26","7/16/2024","11:00",1636.00033302806,535.259345599867,1841.7
"27","7/16/2024","12:00",1687.61968195821,549.662809091666,1773.3
"28","7/16/2024","13:00",1626.84206144368,594.455082840729,1759.7
"29","7/16/2024","14:00",1783.36524852219,671.301307135126,1795.5
"30","7/16/2024","15:00",1774.20697693781,714.927982682541,1806.6
"31","7/16/2024","16:00",1877.4456747981,742.236283406877,1833.5
"32","7/16/2024","17:00",2024.81059029223,769.877612188827,1899.5
"33","7/16/2024","18:00",2155.52410290567,795.937057697111,2022
"34","7/16/2024","19:00",2257.0976604779,834.235284322704,2196.8
"35","7/16/2024","20:00",2028.14087086837,728.831904087919,1929.2
"36","7/16/2024","21:00",1855.7988510532,624.51086504038,1865.8
"37","7/16/2024","22:00",1693.44767296645,531.429522937308,1800.7
"38","7/16/2024","23:00",1673.46598950962,513.446007826159,1837.1
"39","7/16/2024","0:00",1676.79627008575,503.12213804013,1809.8
"40","7/17/2024","1:00",1690.11739239031,506.618932645075,1828.5
"41","7/17/2024","2:00",1685.1219715261,500.541170593623,1756.3
"42","7/17/2024","3:00",1761.71842477729,542.419448838565,1839.5
"43","7/17/2024","4:00",1794.18866039464,563.067188410624,1765.2
"44","7/17/2024","5:00",1822.49604529182,609.191574390142,1796.2
"45","7/17/2024","6:00",1864.12455249355,627.924402630922,1773.7
"46","7/17/2024","7:00",1887.43651652652,651.652651735909,1862.3
"47","7/17/2024","8:00",1841.64515860461,689.368079260678,1825.5
"48","7/17/2024","9:00",1917.40904171176,696.777953542586,1838
"49","7/17/2024","10:00",1862.45941220548,646.490716842894,1815.1
"50","7/17/2024","11:00",1734.24361002414,534.676546499043,1787.9
"51","7/17/2024","12:00",1749.22987261677,551.078178336525,1787.5
"52","7/17/2024","13:00",1732.57846973608,639.996669719424,1766.3
"53","7/17/2024","14:00",1687.61968195821,656.897843643327,1728.5
"54","7/17/2024","15:00",1578.55299308967,705.936225126967,1582
"55","7/17/2024","16:00",1621.84664057947,731.49612854883,1595
"56","7/17/2024","17:00",1767.54641578553,777.454000499542,1752.3
"57","7/17/2024","18:00",2047.28998418117,792.690034135376,1901.1
"58","7/17/2024","19:00",2097.24419282325,860.877528931813,1845.8
"59","7/17/2024","20:00",2254.59995004579,865.87294979602,2109.4
"60","7/17/2024","21:00",2141.37041045708,894.180334693198,1992
"61","7/17/2024","22:00",1083.17375738906,561.152277079344,NA
"62","7/17/2024","23:00",1968.19582049788,731.995670635251,1853.3
"63","7/17/2024","0:00",1680.12655066189,479.893431021564,1795.3
"64","7/18/2024","1:00",1691.78253267838,472.650070768462,1798.2
"65","7/18/2024","2:00",1666.80542835734,472.233785696445,1793.6
"66","7/18/2024","3:00",1695.94538339855,488.552160519524,1794.9
"67","7/18/2024","4:00",1693.44767296645,492.631754225293,1769.9
"68","7/18/2024","5:00",1759.22071434518,558.238281575223,1760.3
"69","7/18/2024","6:00",1786.69552909833,632.003996336691,1701.7
"70","7/18/2024","7:00",1785.03038881026,687.952710015819,1801.2
"71","7/18/2024","8:00",1944.05128632087,724.835567396553,1927.2
"72","7/18/2024","9:00",2065.60652734993,765.63150445425,2040.2
"73","7/18/2024","10:00",2161.35209391391,809.591208059279,2165.5
"74","7/18/2024","11:00",2297.06102739156,866.705519940055,2152.5
"75","7/18/2024","12:00",2107.23503455166,786.445758055116,2087.5
"76","7/18/2024","13:00",2013.98717841978,835.067854466739,2198
"77","7/18/2024","14:00",2104.73732411956,790.192323703272,2089.9
"78","7/18/2024","15:00",2238.78111730913,840.063275330947,2146.4
"79","7/18/2024","16:00",2156.3566730497,839.230705186912,2155.5
"80","7/18/2024","17:00",2646.7404878861,889.18491382899,2505.7
"81","7/18/2024","18:00",2724.16951128133,889.18491382899,2742.8
"82","7/18/2024","19:00",3084.67238364832,909.999167429856,3036.6
"83","7/18/2024","20:00",3463.49179918408,935.80884189493,3405.5
"84","7/18/2024","21:00",3501.79002580967,912.49687786196,3482.3
"85","7/18/2024","22:00",3630.83839813504,920.822579302306,3344.5
"86","7/18/2024","23:00",3441.01240529515,904.171176421614,3417.4
"87","7/18/2024","0:00",2232.12055615686,672.466905336775,2251.2
"88","7/19/2024","1:00",2078.92764965448,633.16959453834,2132.2
"89","7/19/2024","2:00",1930.73016401632,568.562151361252,2018.9
"90","7/19/2024","3:00",1834.98459745234,539.17242527683,1972.2
"91","7/19/2024","4:00",1866.62226292565,555.740571143119,2017.7
"92","7/19/2024","5:00",1834.1520273083,558.987594704854,2003.4
"93","7/19/2024","6:00",1919.90675214387,597.202564316044,2026.9
"94","7/19/2024","7:00",1999.00091582716,627.341603530097,2049.7
